,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
479,Broken Hill,43,57,-31.95,141.43,50.0,8.05
480,Kita,0,48,13.03,-9.49,90.91,3.85
481,Diphu,86,97,25.83,93.43,75.0,2.15
482,Chingirlau,0,44,51.09,54.08,54.77,5.17
483,Maningrida,5,88,-12.07,134.27,76.5,6.87
484,Stadthagen,75,66,52.32,9.2,55.4,3.36
485,Helong,0,80,42.54,129.0,52.11,4.61
486,Mbinga,5,44,-10.93,35.02,77.0,13.87
487,Raudeberg,0,78,61.99,5.14,55.99,3.83
488,Lata,0,54,40.16,-8.33,77.0,11.32
489,Puerto Madryn,0,31,-42.77,-65.04,61.5,7.67
490,Batagay-Alyta,100,95,67.8,130.41,32.29,1.05
491,Riyadh,0,17,24.69,46.72,95.0,4.7
492,Nouakchott,20,70,18.09,-15.98,89.6,14.99
493,Rio Grande,100,90,-32.03,-52.1,68.0,3.0
494,Fortuna,1,100,40.6,-124.16,59.0,4.7
495,Okhotsk,84,87,59.38,143.3,50.36,14.92
496,Bandarbeyla,0,78,9.49,50.81,77.58,27.58
497,Machico,40,73,32.7,-16.77,71.6,9.17
498,Djibouti,1,70,11.5,42.5,89.6,9.17
499,Malé,75,79,4.17,73.51,84.2,3.36
500,Tongliao,0,63,43.61,122.27,61.86,8.77
501,Mackay,40,93,-21.15,149.2,64.4,6.93
502,São João dos Patos,18,24,-6.5,-43.7,98.83,7.92
503,Bereda,67,61,43.27,-7.54,63.0,11.99
504,Manado,20,88,1.49,124.85,77.0,3.44
505,Half Moon Bay,1,77,37.46,-122.43,69.8,4.0
506,Pacific Grove,1,63,36.62,-121.92,66.0,9.17
507,Skibbereen,75,87,51.55,-9.27,57.2,8.05
508,Netrakona,100,90,24.88,90.72,79.63,4.63
509,Calama,0,11,-22.47,-68.93,68.0,11.41
510,Diego de Almagro,0,18,-26.37,-70.05,74.16,8.61
511,Erenhot,13,49,43.65,111.98,60.89,13.18
512,Musoma,20,69,-1.5,33.8,78.8,11.41
513,Marathon,1,100,44.9,-89.77,57.99,4.7
514,Ust'-Ordynskiy,75,100,52.8,104.75,37.4,2.24
515,Vila Franca do Campo,75,94,37.72,-25.43,71.6,9.17
516,Nokaneng,0,11,-19.67,22.27,91.24,3.15
517,Saldanha,53,48,-33.01,17.94,60.8,10.29
518,Laguna,1,40,38.42,-121.42,73.99,9.17
519,Strezhevoy,78,87,60.73,77.59,51.8,6.71
520,Ende,33,76,-8.84,121.66,77.25,1.74
521,Bāneh,0,32,36.0,45.89,62.73,6.44
522,Arrondissement de Saint-Gaudens,90,58,43.08,0.67,57.2,16.11
523,Nimāparha,40,89,20.07,86.02,84.2,5.82
524,Olinda,40,66,-8.01,-34.86,84.2,14.99
525,Kynšperk nad Ohří,70,80,50.12,12.53,51.01,4.34
526,Guerrero Negro,0,69,27.98,-114.06,73.22,8.72
527,Khovd,100,57,48.01,91.64,42.3,3.11
528,Innisfail,69,86,-17.53,146.03,71.22,3.89
529,Chernyshevskiy,100,90,63.01,112.47,39.9,10.29
530,Palimé,96,88,6.9,0.63,75.69,1.86
531,Nueva Guinea,42,73,11.69,-84.46,83.41,7.29
532,Okha,1,87,53.57,142.95,45.23,11.68
533,Cururupu,81,54,-1.83,-44.87,88.57,7.94
534,Longyearbyen,90,86,78.22,15.64,33.8,12.75
535,The Valley,75,88,18.22,-63.06,82.4,11.41
536,Clovis,90,64,36.83,-119.7,72.0,1.16
537,San Roque,75,60,36.21,-5.38,73.4,13.87
538,Lompoc,40,72,34.64,-120.46,66.2,2.62
539,Forsytheganj,100,68,52.63,29.73,60.71,12.06
540,Lorengau,38,80,-2.02,147.27,81.07,7.49
541,Maniitsoq,13,80,65.42,-52.9,36.41,8.7
542,Lichuan,100,93,30.3,108.85,53.67,3.4
543,Thunder Bay,20,77,48.4,-89.32,62.6,10.29
544,Cedar Lake,75,69,41.36,-87.44,75.0,8.05
545,Lhokseumawe,100,84,5.18,97.15,79.07,8.61
546,Nawalgarh,0,29,27.85,75.27,82.83,2.59
547,Grong,97,71,64.47,12.31,55.4,20.8
548,Fallbrook,90,93,33.38,-117.25,68.0,1.5
549,San Jose,40,60,37.34,-121.89,73.0,2.24
550,Mahon,20,45,39.89,4.27,64.4,11.41
551,Ambon City,40,100,-3.7,128.18,75.2,6.93
552,Arbuzynka,0,41,47.91,31.32,67.33,8.95
553,Comandău,0,54,45.77,26.27,60.01,8.99
554,Yuzhno-Kurilsk,76,87,44.03,145.86,55.89,27.63
555,Stavern,90,87,59.0,10.03,57.99,14.99
556,Touros,40,55,-5.2,-35.46,87.8,13.87
557,Preobrazheniye,1,81,42.9,133.91,52.38,5.53
558,Ushtobe,0,51,45.25,77.98,48.33,14.07
559,Xiongzhou,97,90,25.12,114.3,64.67,1.5
560,Padang,100,67,-0.95,100.35,79.05,3.18
561,Arman',8,89,59.7,150.17,40.95,0.89
562,Salina Cruz,71,66,16.17,-95.2,84.83,4.52
563,Ust-Maya,100,79,60.42,134.53,53.26,7.34
564,Abilene,1,58,32.45,-99.73,84.2,17.22
565,Carutapera,70,59,-1.2,-46.02,86.85,11.05
566,Bairiki Village,40,78,1.33,172.98,80.6,9.17
567,Bang Saphan,100,91,11.21,99.51,76.68,5.46
568,Lonār,90,89,19.98,76.53,72.61,5.19
569,Tanout,11,13,14.97,8.89,98.69,6.55
570,Ola,22,92,59.58,151.28,41.94,7.36
571,Øksfjord,0,56,70.24,22.35,44.6,18.34
572,Port Macquarie,85,80,-31.43,152.92,50.0,7.4
573,Bassar,75,78,9.25,0.78,78.8,3.36
574,Sānchor,0,55,24.76,71.77,83.44,6.98
575,Hailey,5,49,43.52,-114.32,46.4,10.29
576,Caxito,20,69,-8.58,13.66,77.0,9.17
577,Karasburg,0,26,-28.02,18.75,60.67,15.64
578,Podyuga,0,90,61.09,40.86,53.49,4.61
579,Te Anau,73,91,-45.42,167.72,33.1,7.49
580,Flinders,94,75,-34.58,150.86,48.99,1.01
581,Erbaa,40,44,40.67,36.57,78.8,11.41
582,Taoudenni,0,6,22.68,-3.98,110.12,4.41
583,Poputnaya,16,4,44.51,41.44,69.01,17.0
584,Havøysund,0,68,71.0,24.66,42.8,18.34
585,Dunedin,0,57,-45.87,170.5,41.0,4.0
586,Teahupoo,20,83,-17.83,-149.27,73.4,2.24
